"filename","unplatted_property","abstract_no","county","propertyid","geographicid"
"Jason Ramsey & Natalia PT31964.txt","","2223","Parker $ more fully described in an Instrument recorded in DOCUMENT # 2016014501 the DEED Records of Parked","R000064858","22223.001002.00"
"Jason Tatarian 960418_Jason Tatarian 960418.txt","","","","",""
"Jason Tatarian 964809_Jason Tatarian 964809.txt","","","","",""
"JCR Land & Cattle.txt","","","","",""
"Jeff  Morrison 938063.txt","I","772","Parker","",""
"Jeff Hodge 965422_Jeff Hodge 965422.txt","35","749","Parker","R000044840","20749.003.000.00"
"Jeff Kramer 966730_Jeff Kramer 966730.txt","","","","",""
"Jennifer & Brent Hines 930000.txt","","","","",""
"Jennifer Byrd Ashworth 963771.txt","66.539","498","Parker + Hood","",""
"Jeremy Humphries 937445.txt","1.5","2308P","Tarrant","",""
"Jerre Ewing Alice Ewing 931309.txt","61.67","A-844","WISE","",""
"Jerry Bob 954244.txt","216","24$ 1651 Knox EUBANK PASTURE","","R000002832","51451.00100.00000.010132"
"Jerry Durant 936935.txt","163.747","507","Hood","",""
"Jerry Garito 963279_Jerry Garito 963279.txt","","","","","16042.001.026.00"
"Jerry Jetton 936055.txt","10.160","994","Parker","",""
"Jerry McDougall 953158_Jerry McDougall 953158.txt","","","","R000078764",""
"Jerry Patton 959112_Jerry Patton 959112.txt","","","","",""
"Jerry Saheed 964825_Jerry Shaheed 964825.txt","4.00","1407","Parker","8119684","21407.001.004.00"
"Jerry Watson 958713_Jerry Watson 958713.txt","","","","",""
"Jerry Woodruff 944267.txt","13.6","1405","PARKER","",""
"Jesse Clifton  wo 960741_Jesse Clifton 960741.txt","","","PARKER","R000089804",""
"Jesse Clifton 960741 (2).txt","3,545","","PARICER","Roooo 89804","2139200100310"
"Jesse Clifton 960741.txt","1455","","PARKER","R000054397","2139200100300"
"Jesus Cervantes 964184_Jesus Cervantes 964184.txt","7","1126","Parker","R000089198",""
"JHRH Investments 963474_JHRH Investments 963474.txt","","","","",""
"Jill Thompson Edwards 951842.txt","100","A-105","Haskell","",""
"Jim Landis 966279.txt","204.95","257","JACK","",""
"Jimmy Watson 966820_Jimmy Watson 966820.txt","17.765","769","Parker","RUUV095939","20769.001.002.00"
"Joe Allison Lewis Jr 961947.txt","","","","",""
"Joe Cannon 963404_Joe Cannon 963404.txt","26.1","2774","Parker","R000103539",""
"Joe Gilbert Melia Gilbert Chris Gilbert Penny Gilbert.txt","37-1/2","788,","Parker","",""
"Joel Lee and Jan D Kindberg 966632_Kindberg Easement 966632.txt","4","1519","Parker","",""
"John & Sara Pribyla 959621.txt","2.000","120","Baylor","22547","00120-00030-0000-00000"
"John and Molly Dvorachek 952333 Recorded.txt","","403 PARTOF 10.08 ACRE TRACT Lot(s) 1.5ACRES H-Hock","SIRRUSOENT NO. Addition, an addition in the o2020207786 (cross out "City of if property is not within city limits), PARKER","",""
"John Barthelemy.txt","158.474","1438","Knox","",""
"John Chase 951114_John Chase 951114 (1).txt","2","2520","PARKER","R000067119",""
"John Fuller 958830_John Fuller 958330.txt","2915","1105","Parker","Roooo 37134",""
"John Mallett 962854.txt","1112.9","","","",""
"John Nyquist Kendall Nyquist 937402.txt","38.63","1558","Jack","",""
"John Robinson 963511_John Robinson 963511.txt","3.769","633","Parker","R000043556 GFOGRAPHIC ID:

 20633.02012.00",""
"John Williams 964932_John Williams 964932.txt","","108","Parker","R000036023",""
"John Williams Helen Ragsdale 964932_John Williams Helen Ragsdale 964932.txt","7.33","108","Parker","",""
"John Zigelhofer 958439_John Zigelhofer 958439.txt","","","","",""
"Johnathan D Austin and Tammy J.Austin 965569.txt","32.549","650","PaloPinto","R000004915","039030000"
"Jonathan Lafoon 970627.txt","","","","R000113808","15891.001,002.00"
"Jonathan London 959365_Jonathan London 959365.txt","3.5","1723","Parker","R000116173",""
"Jose A & Anita Hernandez 953280_Scan_20210205 (10).txt","","","","",""
"Jose Alvardo 960144_Jose Alvarado 960144.txt","","1541","Parker","",""
"Joseph & Tracie Pribyla 962242.txt","175.9","644","Baylor","R000012687","00644-00040-00000-000000"
"Joseph Miller 962676_Joseph Miller 962676.txt","2","","Parker","R000108700",""
"Joshua Potts & Taylor Potts 965633.txt","160","134","Jack","20210001707","20134-00042-00101-000000"
"Joshua Smith & Alysha Dunn 958191.txt","10.26","425","wise","R000013960","A0425.0022.00"
"Joshua Underhill 963770_Joshua Underhill 963770.txt","5.00","2729","PARKER","",""
"Josiah Ventures, Ltd. Carl E. Greer 967520.txt","","","","",""
"Josph Mahar 961063.txt","","240","wise","ROUSE 5290","A0240.0016.21"
"Jovita Davis PT 18522_Jovita Davis PT 18522.txt","1.17","867","Parker","R000046942","20867.002.000.00"
"Joy Smith 947072 Recorded.txt","","","","",""
"Joyce Stoker 959998_Joyce Stoker 959998.txt","Tract 3, 22,151","2233","Parker","",""
"JRC Haslet Springs 967403_JRC Haslet Springs 967403.txt","","","","",""
"JRM Homes 959528_JRM Homes LLC 959528.txt","","","","",""
"JRM Homes_JRM Homes 959533.txt","","","","",""
"Juan Anaya 963564_Juan Anaya 963564.txt","","","","",""
"Juan Barbosa 939013.txt","2.75","A625-(EximitA)","wise","",""
"Judy M Ray 966456.txt","154","","Parker","",""
"Judy Tigrett 967085.txt","","","","","the EASEMENT PROPERTY shall be limited to that portion of the property within TO feet in all directions of GRANTEE'S lines,"
"Jumba_Kairos Homes Kendall Schober 950137 Recorded.txt","","","","",""
"Justin Burton 962235_Justin Burton 962235.txt","","","","",""
"Kairos Homes 947535 Recorded.txt","","","","",""
"Kairos Homes 955351_Kairos Homes 955351.txt","","","","",""
"Kairos Homes 960208_Kairos Homes 960208.txt","","","","",""
"Karen Y Stokes 968279.txt","10.01","1116","Parker","",""
"Keith Dodd 959317_Keith Dodd 959317.txt","","1915","PaRKeR","R000116377","21915.001.00100"
"Keller ISD PT24716_Keller ISD PT24716.txt","","","","",""
"Kelli Henneck 952645 Recorded.txt","2.080","","Parker","R000034380","19776.004.036.00"
"Kelly Coleman 938312.txt","13,254","867","PARKER","",""
"Kelly Russell 967833_Kelly Russell 967833.txt","","","","",""
"Kenneth Coffman 960946.txt","17.320","A-614","Wise","R000029411 GEDGRAPHICID:

R1020.0010.02",""
"Kenneth Sanders 955608.txt","173.71","313","Haskell","",""
"Kent Williams 960079_Kent Williams 960079.txt","","","","",""
"Kenzie King 959365_Kenzie King 959365.txt","2.243","1723","Parker","R000112369","21723.002.005.00"
"Keo James Thammavong 963748_Keo James Thammavong 963748.txt","6.598","611","Tarrant","",""
"Kevin Denise Hawks 952809 Recorded.txt","","","","R000110963","13114.001.001.00"
"Kevin Kittrell 957966 (3).txt","17.924","2593","Parker","",""
"Kevin Ledezma 963751_Kevin Ledezman 963751.txt","","","","",""
"Khalil Abdullah 963869_Khalil Abdullah 963869.txt","4.00","1407","Parker","",""
"Kiley Chesney 938331.txt","12.317","942","PARKER","",""
"Kimberly Oglesby 964228_Kimberly Oglesby 964228.txt","","","","",""
"Kirk Duvall 965117_Kirk Duvall 965117.txt","68","275 1419","Parker","R000054963","21419.004.001.00"
"KMG Holdings 936635 Recorded.txt","","","","",""
"Knox Rural Water Supply.txt","/","554","King","",""
"Kroger Texas 966377_Kroger Texas 966377.txt","","","","",""
"Ky Nichols 964049_Ky Nichols 964049.txt","20","1358","Parker","",""
"La Escalera Limited.txt","503.6","934","Baylor","",""
"Lacey Well 938210.txt","","","","",""
"Lackland Land Developer 954981.txt","","","","",""
"Lafleur Ranch 963602_Lafleur Ranch 963602.txt","","","","",""
"Land Vision 962060_Land Vision Co 962060.txt","","1457","PARKER","R000056233 GEOGRAPHIC 21457,008.002.00",""
"Land Vision Co 962060_Land Vision Companies 962060.txt","","","","R000016409, 16410, 16411, 14412,","17524.001.001, 002, 004, 007"
"Landvision Companies 962060_Landvision Companies 962060.txt","1.00","1457","Parker","",""
"Larry & Alice Mitchell 945836.txt","105.34","324","wise","",""
"Larry Janis Tenny 916180.txt","28","615","Wise","",""
"Laura Pickering Kyle Massie 947346 Recorded.txt","S","236","parker","",""
"Laura Reed 961959.txt","3.00","799","Wise","R000504503",""
"Lawrence Eckersley 967844_Lawrence Eckersley 967844.txt","","","","",""
"Lawrence Merritt 958280_Lawrence Merritt 958280.txt","20.41","1375+1271","parker JA","","the EASEMENTT PROPERTY shall be limited to that portion of the property within TO feet in all directions of GRANTEE'S lines,"
"Lem Hollow Self Storage 952653 Recorded.txt","","","","",""
"Leonard Porter 938279.txt","10","1047","PARKER","",""
"Leonard Porter 962060_Leonard Porter 962060.txt","","","","",""
"Leonard Porter Stanley Meadows 962060_Document 1.txt","","","","",""
"Leone Gentry & Mike Gentry 958577.txt","2535","214","Jack","",""
"Leslie Ehrenberg 963992_Leslie Ehrenberg 963992.txt","","","","",""
"Lester Frailey 936694.txt","9","5","Wise","",""
"Letara Developement LLC 949117.txt","","","","",""
"Linda Henderson 959484_Linda Henderson 959484.txt","14","1484","PARKER","",""
"Linda Richardson 959394.txt","# 1008","1979","Parker","",""
"Lisa & Bryan Morris 936801.txt","7,020","A-331 G","Wise","",""
"Lisa Morris 936801.txt","7,020","A-331 G","Wise","",""
"Lois Savering 964795_Lois Savering 964795.txt","","","","R000012555",""
"Lola Williams 955608.txt","162.63","313","Haskell","",""
"Lorenzo Mireles 962123_Lorenzo Mireles 962123.txt","","","Parker","R000034235","19775.001.018.00"
"Loreta Massie 953089_Loreta Louise Massie 953089.txt","24.58","857","Parker","RO00090486","20857.003.001.50"
"Lori Behrens Steven Behrens 952334 Recorded.txt","42","207","Hood","",""
"Lori Phillips 961900_Lori Phillips 961900.txt","","un County Texas, as more fully described","an instrument recorded in Volume Page of the Records","R040012430",""
"Lou Anne Kubosh Seigel 951891_Lou Anne Kubosh Seigel 951891.txt","","982","Parker","",""
"Lou Anne Seigel 951891_Lou Anne Seigel 951891.txt","","982","Parker","",""
"Lucas & Angela Wynn 968487.txt","","591 & 1975","PARKER","",""
"Lumar Land & Cattle 967781_Lumar Land & Cattle 967781.txt","","","","R000120137","10404.00B-024.00"
"Mackie Hohrine 938516.txt","34.88","5 A-1534","Parker Unplatted Property 34.88 acres of land, more or less, out of the Loremy J. Furner J&PRRCo","",""
"Madison Weger 963751_Madison Weger 963751.txt","","","","",""
"Magnolia Pads 964217_Magnolia Pads 964217.txt","","1898, Tarrant County. Texas, be","g part of Lot 2. Block 1, Lovett Alliance Addition, an addition to the City of Fort Worth, Texas according to the plat recorded in Instrument No. D221341755, Official Public Records, Tarrant","",""
"Makenzi Miller 958714_Makenzi Miller 958714.txt","","","","",""
"Manette Plumlee 959418_Manette Plumlee 959418.txt","10.35","2732","Princk","","2273"
"Marc Meadors PT 28782_Marc Meadors PT 28782.txt","1.000","664","Parker","","20664.003.000.00"
"Marco Orozco 958573_Marco Orozco 958573.txt","","","","",""
"Marcus Watson 963539_Marcus Watson 963539.txt","","2162","Paul","R000064442",""
"Mario Gomez 962090_Mario Gomez 962090.txt","190371","","","CFOiRAPHIC ID:",""
"Mario Gomez wo 962090_Mario Gomez  wo 962090.txt","","","","cg",""
"Marjon Holdings 967361_Marjon Holdings 967361.txt","","","","",""
"Mark Allen 959998_Mark Allen 959998.txt","22.151, Tract 2","1628","Parker","",""
"Mark Deborah Hill.txt","1404","408,425,457,833","ARcheR","",""
"Mark Ivie 964143_Mark Ivie 964143.txt","5","","Parker","",""
"Marshall Shepard 959822_Marshall Shepard 959822.txt","the","932","Parker","GEOGRAPHHC ID:",""
"Marty Elliott 935855.txt","","","","",""
"Mary Beavers 962232_May Beavers 962232.txt","19.106","491","Parker","",""
"Mary L Beavers 962232_Mary Beavers 962232.txt","","491","Partie","GEOGRAPHIE ID:",""
"Mary Peay James Peay 933550.txt","","","","",""
"Matthew Lively 959891_Matthew Lively 959891.txt","7.5","2566","Parkor","",""
"Matthew Miller 963674_Matthew Miller 963674.txt","","","","R000076130","10475.001.02B.00"
"Matthew Potsyman 955575.txt","4.0","17","Knox","",""
"Matthew Richard 959267_Matthew Richard 959267.txt","3.400","385","Jack","",""
"Maverick Bend Estates LLC 963747.txt","","","","",""
"McDonnell Construction PT 29239_McDonnell Construction PT 29239.txt","","","","R000106837","11065.001030.00"
"Megan Richardson 959185_Megan Richardson 959185.txt","","","","",""
"Melanie Belz 963094_Melanie Blez 963094.txt","5.0","","PARKER","R000112917","15805,001.004.00"
"Melba Anderson 934516.txt","18.741","348","Hood","",""
"Melinda Cripe and Mark Cripe 965722.txt","162.18","A-528","BAYLOR","",""
"Micah Hammond_Micah Hammond 963992.txt","","","","CitOiRAPHICT ID:",""
"Michael & Jessica Lipoma 967686.txt","28.4102","78","Hood","",""
"Michael and Kassie Hooser 943029.txt","11.94","798","Parker","",""
"Michael Cantwell 967255_Michael Cantwell 967255.txt","","","","R000013689","14150,001.009.50"
"Michael Collup 964577_Michael Collup 964577.txt","","1428","Parker","GEOGRAPHI ID:",""
"Michael Collup WO 964577_Michael Collup   964577.txt","3","1428","Parker","",""
"Michael Gallaher and Sarah 964745.txt","16.04","202207532","Parker","",""
"Michael Henigan 952819_Michael Henigan 952819.txt","51.430","75 Parker","","",""
"Michael Lemmons 952492_Michael Lemmons 952492.txt","","","","",""
"Michael Reed 958352_Michael Reeder 958352.txt","","","","R000004878","11400.001.015.00 the EASEMENT PROPERTY shall be limited to that portion of the property within 10 feet in all directions of GRANTEE'S lines,"
"Michelle Sublette_Michelle Sublette 951179.txt","4.980","","Parker","",""
"Mike Cunningham 966404_Mike Cunningham 966404.txt","","","","R000110551","11729,001.011.00"
"Miss Henley Holdings 962883_Miss Henley Holdings 962883.txt","","","","",""
"MM Aledo 118 965565_MM Aledo 118 965565.txt","","","","",""
"Morris McPherson 966024.txt","14.14","257","JACK","",""
"Myka Hervey 967931_Myka Hervey 9679331.txt","2","2485","Parker","",""
"Nancy Tillery 951848_Nancy Tillery 951848.txt","1.318","337","Parker","R0000 39221",""
"Nathan & Kristin Lee 968580.txt","","","","",""
"Nathan Burtnett 964699_Nathan Burtnett 964699.txt","2.771","1373","Parker","",""
"Nathan Cox Emyleigh Cox 952334 Recorded.txt","5.513","207","Hood","R000041834","20207,000.00902"
"Nathan McCarty 966269_Nathan McCarty 966269.txt","","","","",""
"Nelida Rojas 938439.txt","","","","",""
"Nelson Bros Ready Mix 960875_Nelson Bros Ready Mix 960875.txt","","","","",""
"Newburg Enterprises 958057_Newburg Enterprises 958057.txt","65.03","1915","PARKER","",""
"Nicholas Pennington 965158_Nicholas Pennington 965158.txt","15.09","2206","Parker","",""
"Nomar Cabello 961799_Nomar Cabello 961799.txt","10.699","1219","Parker","",""
"Norman Harrison 942538_Norman Harrison 942538.txt","5.550","1405","Parker","",""
"North Park Properties 944440 Recorded.txt","","","","",""
"North Texas Lone Star Plumbing 961051.txt","293.20","1304","Throckmorton","","00110-01304-00000-000000 3220"
"Northwood Baptist 938158.txt","","","","",""
"Northwood Baptist Church 938158.txt","","","","",""
"NTH Group 965655_NTH Group 965655.txt","16.373","98","Parker","","20098.003.001.00"
"Nutrien AG Solutions.txt","","","","",""
"Oasis Church International 964483.txt","","","","",""
"Oscar Velazquez 959979_Oscar Velazquez 959979.txt","","","","",""
"Our Country Homes LLC 956245_Our Country Homes LLC 956245.txt","","","","",""
"Paden and Kayce Walker.txt","1297","920","Jack","",""
"Paige Pitzer 96007_Paige Pitzer 960077.txt","","","","",""
"Pamela Grammer 962060_Pamela Grammer 962060.txt","9.231","1457","PARKER","GEOGRAPHICM:",""
"Pamela R Howell 966456.txt","8.68","875","Parker","",""
"Paps Place 941149.txt","","2094","PARKER","",""
"Parker County Sherriff's Posse 964319_Parker Sherriff's Posse 964319.txt","","1453","Marker","R000056162",""
"Patrick Adams 959909_Patrick Adams 959909.txt","43.562","1524","Parker","",""
"Paul and Julie Desrochers 952304 Recorded.txt","","","","R000110844","11897,002.114.00"
"Paul Loe 968189_Paul Loe 968189.txt","9.690","247","Parker","R000038221","20247.007.003.50"
"Paul Michael Jr Dusek 966456.txt","1","875","Parker","",""
"Paul Rebekah Passmore 953002_Paul Rebekah Passmore 953002.txt","5.000","730","Parker","Ro0s/14405","20730.002.012.00"
"Paulino Rios 951335.txt",", 102.00","847","Haskell","",""
"Peaster ISD 959421_Peaster ISD 959421.txt","2.86","1851","Parker","",""
"Pemberton Wallace Properties 937466.txt","","","","",""
"Perry Mader 965117_Perry Mader 965117.txt","153","","Parker","R000054968","21419.007.000.000"
"Pitchfork Land & Cattle.txt","9,300","690","Knox","",""
"Pointe Claire LLC 964545_Pointe Claire LLC 964545.txt","","","","",""
"Pointe Claire LLC L P Ladouceur 947183 Recorded.txt","","","","",""
"Poolville Development 964095_Poolville Development 964095.txt","","","","",""
"Presson., Laurel & Kathleen 958982.txt","5.34","616 P.R.R","WISE","R000028153","R0520,0012.01"
"PVR Real Estate Holdings PT 20658.txt","16.238","1906 Tract 2 AG","Tarrant","",""
"RAM Development 919406 Recorded.txt","","ID County, Texas. as more fully described","instrument recorded in Volume Page of the Records of","",""
"Randy Quarne_Randy Quarne 963603.txt","","C Kneass","Hood","R000107004","20310.000.0190-0"
"Raymond King 958335_Raymond King 958335.txt","2.777","582","Hood","",""
"Raymond L King 958335_Raymond L King 958335.txt","2.777","582","Hood","",""
"Reba Warren Life Estate 958335_Reba Warren 958335.txt","1","582","Hood","",""
"Regal Ridge HOA 952972 Recorded.txt","","611, City of Haslet, Tarrant County, Texas and be","g part of Lot 8X, Block B of THE VINES, an Addition to the City of Haslet, Tarrant","",""
"RGW Investments 958754_RGW Investments 958754.txt","2.546","2515","PARKER","R000067071",""
"Rhon Brown 959853.txt","22.42","233","Jack","",""
"Rhonda Raven 957918_Rhonda Raven 957918.txt","","","","",""
"Ricardo Martinez 957918_Ricardo Martinez 957918.txt","","","","",""
"Richard Collup 968069_Richard Collup 968069.txt","","","","",""
"Richard Cooper 967361_Richard Cooper 967361.txt","24.24","2764","PARKER","",""
"Richard Green 967212_Richard Green 967212.txt","","","","",""
"Richard Green Castlemont Homes Recorded.txt","","","","",""
"Richard Karnes 963108_Richard Karnes 963108.txt","","","","R000116400","12801.001.002.00"
"Richard Martin 963924_Richard Martin 963924.txt","","","","",""
"Richard Parkey 954774.txt","131.19/92.62","625 & 495","Archer & Baylor","",""
"Richard Smith Connie Smith 937402.txt","30.440","","e-22REBAST","",""
"Rick Horton 963269_Rick Horton 963269.txt","","1405","Parker","","21405.503.00.00"
"Ricky Kathy Diffie.txt","/","1065","Parker Pennington","",""
"Riverside Home Builders 939091.txt","","","","",""
"Riverside Homebuilders 939091.txt","","","","",""
"RJKK Development  Ron Thomas Recorded.txt","","","","",""
"Robb Stewart.txt","672","263","BAYLOR","",""
"Robert & Tamela Moody 965983.txt","14.35","2480","Parker","",""
"Robert Adams PT21645_Robert Adams 21645.txt","","","","R000104062",""
"Robert Majors 938683.txt","","","","",""
"Robert Matus III 968219.txt","","2","Parkes","",""
"Robert Moody 965983_Robert Moody 965983.txt","14.35","2480","Parker","R0000847743 GEOGRAPHIC D22480.001-002.00",""
"Robert Shepard 959822_Robert Shepard 959822.txt","47","932","Parker","",""
"Robert Sherman 961900_Robert Sherman Melba Sherman.txt","","","so Texas, as more fully described in an instrument recorded in Volume Page of the Records of","R0000 11999",""
"Robert Tibbets 967398_Robert S. & Alicia P. Tibbets.txt","","","","R000110909 GFOGRAPHIC ID:

 11815 009 004.00 the EASEMENT PROPERTY shall be limited to that portion of the property within 10 feet in all directions of GRANTEE'S lines,",""
"Robin Harwell 965430_Robin Harwell 965430.txt","2.6","1933","TRRANT","42854812","A1933-2c04"
"Rockie Gilley.txt","128","733","Knox","",""
"Roderick Coquat_Roderick Coquat 952670.txt","3","2323","Parker","R000065765","22323.003,000.00"
"Rodney Brown 938525.txt","36.480","2566","Parker","",""
"Rodney DeLong 960265_Rodney DeLong 960265.txt","","","","R000029214","184181-001-04.00"
"Rodny Janes.txt","75","308","Baylor","",""
"Roger Alton Coston.txt","255","","JACK","",""
"Rollan Ellis PT26860_Rollan Ellis PT26860.txt","/","1529","Farker","KODOO 58049",""
"Ron Schultz 952682_Ron Schultz 952682.txt","6.0","2658","Parker","",""
"Ron Schultz WO 952682_Ron Schultz WO 952682.txt","","","","",""
"Ronald and Misty Long 961063.txt","","A-240","wise","",""
"Ronald Bevelle and Theresa.txt","7 36.75","1336","Jack","",""
"Ronald Cole 937743.txt","","","","",""
"Ronald Keen 965433.txt","16.2","843","Jack","Lot 9","97.988497"
"Ronald Long 937837.txt","","","","",""
"Ronald Price & Lisa Price 962829.txt","2","1561","Jack","",""
"Ronald Skyles 961588_Ronald Skyles 961588.txt","","","","",""
"Ronnie and Pennye Shockey 967723.txt","91.07","34341917","Jack","10114","(20343-00044-00200-000000"
"Ronnie Rogers 933717.txt","24.08","657","Hood","",""
"Rosco Pitchford PT17189_Arnold Pitchford.txt","62.444","68","Parker","R000035649 2t068.001.004.50",""
"Rose Read Properties, LLC 970637.txt","","1428, 1406","Parker","R000614988",""
"Ross  Kelsee Benge 953369_Ross & Kelsee Benge 953369.txt","","","Parker","R000105850",""
"Ross Short 962941.txt","80.80","185","Haskell","",""
"Roy Hickey 967191_Roy Hickey 937191.txt","","","","",""
"Roy New 964913_Roy New 964913.txt","15.80","2413","Parker","",""
"Royal Crest Custom Homes 963765_Royal Crest Homes 963765.txt","","","","",""
"Royal Crest Homes 963823_Royal Crest Homes 963823.txt","","","","",""
"Royce Miller 950979.txt","","","","",""
"Ruibal Properties LLC.txt","7.771","1153 TRACKS IDDIE","TARRANT","",""
"Russell Tracy Tatum 945571.txt","","","","",""
"RW Sellers 953436_RW Sellers 953436.txt","1.5","1884","Parker","R000062417 CGEOGRAPHIIC ID:

 21884.036.00200",""
"Ryan Carpenter 964755_Ryan Carpenter 964755.txt","","","","R000115061",""
"Ryan Ebersole 957918_Ryan Ebersole 957918.txt","","","","",""
"Ryan Maldonado 959020_Ryan Maldonado 959020.txt","","","","","16291,001.030.00"
"Samuel Bronner 962085_Samuel Bronner 962085.txt","","N/A","","",""
"Sandstrom Development_Sandstrom Development 956245.txt","","","","",""
"Sarah Ingham 938257.txt","/ Survey, Abstract No. 1218","1218 acres of land, more or less, out of the John Shurley","Parker","",""
"Scott and Summer Creech 960167.txt","40.248","214","JACK","",""
"Scott Poster 938245.txt","","","","",""
"SCPL Partners PT 28018_SCPL Partners 28018.txt","77.25","2253","PARKER","R00006538",""
"Seth & Angela Morris 965632.txt","5","594, 1133","Jack","",""
"Seth Schutz.txt","51","888","Jack CLYRATON","",""
"SFG FW Harmon 964890_SFG FW Harmon LLC 964890.txt","12.7 & 16.5","1603","Tarrant","",""
"Shamblin Properties 964956_Shamblin Properties 964956.txt","2.441","1706","Parker","",""
"Shane Barrington_Shane Barrington 958576.txt","40.865","914","Hood","R000047648",""
"Sharla Smelley Road 959781_Sharla Smelley Rd 959781.txt","","","","",""
"Shaw Creek Farm 964787_Shaw Creek Farm 964787.txt","","","","",""
"Shawn Dalchow PT 26289_Shawn Dalchow PT 26289.txt","","","","R000106090","14032.001.002.50"
"Shawn Ryburn 965969.txt","","684","Jack","",""
"Shawna Powell 966393.txt","","","","20220001875 GGEORAPHC ID:

 10257-10040-00008-000000",""
"ShelbyTrammell 962818_ShelbyTrammell 962818.txt","14.20","2413","Parker","",""
"Sherman Speckles 953421 Filed.txt","","","","",""
"Sherry Densmore 966177_Sherry Densmore 966177.txt","","","","R000083481",""
"SMF Cutting Horses LLC 949134.txt","90.114","206","Hood","",""
"Springtown Properties 963746_Springtown Properties 963746.txt","","","","",""
"Stacey Goss Everett.txt","5.604","A-944","Wise","R19911","0944.0005.00"
"Stage Coach Ranch  Peter Paulson 950518 (1).txt","","","","",""
"Standifer Investments 965019_Standifer Investments 965019.txt","15","283","Parker","",""
"Stanford_Weatherford Ranch 965601_Stanford Weatherford Ranch 965601.txt","1","","","R000078185","21418.001.001.00"
"Star C Land 958754_Star C Land & Cattle 958754.txt","","","","",""
"Star P Ventures 950743_Star P Venture 950743.txt","","","","R000104045 GEOXRAPHIC ID:

 11859.001.001.00",""
"Starnes, Mark Allan 960533.txt","","","","",""
"Steepwood Mgmt Jason Hester 950060 Recorded.txt","","","","",""
"Stephen Bond 959691_Stephen Bond 959691.txt","3.550","1814","Parker","",""
"Stephen Damico Jessica Barnes 937402.txt","40.59","1558","JACK","",""
"Stephen Karnes 958865_Stephen Karnes 958865.txt","6.0","1312","Parker","R112382","21312.003.003.00"
"Stephen Karnes 963326_Stephens Karnes 963326.txt","is","1112","Packer","",""
"Stephen Mock 956445_Stephen Mock 956445.txt","10.399","11","PARKER","Rom01114460",""
"Stephen Overton and Brittney Haggstrom 966483.txt","23.03","236","Jack","",""
"Stephen Smith 938328.txt","","","","",""
"Sterling Kelly 964403_Sterling Kelly 964403.txt","","171","Hood","",""
"Steve Berry 962598_Steve Berry 962598.txt","3-5","118","J. Chenowith Hoas","Roooo' 48633","20118-000-0430-D"
"Steve Harris 963703_Steve Harris  963703.txt","2.853","1370","Parker","",""
"Steve Harris WO 963703_Steve Harris 963703.txt","6.740","1370","Parker","",""
"Steve Harris work order 963703_Steve Harris963703.txt","234.73","1370","Parker","",""
"Steven Rains Sr 934516.txt","18.91","348","HOOD","",""
"Steven Schrekhise PT 27624_Steven Schreckhise PT27624.txt","19.529","1105","Parker","",""
"STK100555 - 2023 Easement from Closner for Lot 1 (filed 03-02-2023).txt","","","","42942657",""
"STK102308 - 2023 Easement from Israel for Lot 38 (filed 03-23-2023).txt","","","","R000106216","17301.001.038.00"
"STK102308 - 2023 Easement from Reno for 1 acre (filed 03-15-2023).txt","1.0","2772","PARKER","",""
"STK200110 - 2023 Easement from A-Affordable for 10 acres (filed 04-20-2023).txt","10.000","1414","PARKER","R000054910/R000091192/R00011312","21414.006,000.00/21414 006.002.00/21414 006.007 00"
"Stonetown Benbrook 959209_Stonetown Benbrook 959209.txt","","","","",""
"Stormy Moore 959187_Stormy Moore 959187.txt","","","","",""
"Structured Building Group 965930_Structured building Group 965930.txt","","","","",""
"Sue Dickerson 967558_Sue Ann Dickerson 967558.txt","","","","",""
"Summer Creech 960167.txt","10","214","JACK","","the"
"Sunrise Trails.txt","500,17","365","MASKELL","",""
"SystematicHoldings, LLC 969010.txt","","","","",""
"Tad Carpenter 959613 63107_Tad Tracy Carpenter 959613.txt","36.85","219","Parker","",""
"Tad Carpenter 967375_Tad Carpenter 967375.txt","36.85","219","Parker","R-000037449","20219-007.000.00"
"Tad Sellman 958772_Tad Sellman 958772.txt","","98","parker","R000095544","20098.004.000.50"
"Tammy Graham 959882_Tammy Graham 959882.txt","- 1","2537","PArker","R00U067223",""
"TCB Land Management 964520_TCB Land Management 964520.txt","21.0","330","Hood","R000093573","20330000.0010.1"
"TCOR Investments 950983.txt","","","","",""
"TCOR Investments 964546_TCOR Investments 964546.txt","","","","",""
"Techflex Holdings LLC 966993.txt","459.420","1561","Knox","",""
"Teddy Cummings 961191.txt","","","","",""
"Teddy Cummings WO 961191.txt","10.055","386","Parker","20386.002.000.50 facilities on said lines, poles and/or other property,","20386.002000.00"
"Teofilo Garcia 938109.txt","9.205","1437","Tarrant","",""
"Terry Loudamy 957918_Terry Loudamy 957918.txt","","","","",""
"Terry Owens 961760_Terry Owens 961760.txt","","1526","PARKER","R000104284","21576.001.006.00"
"test.txt","","","","",""
"Texas West Wing Holdings, LLC 959053.txt","80","384","Haskell","",""
"The 2019 Avila Family Trust 958028_The 2019 Avila Family Trust 958028.txt","A for (","424","Hood","",""
"The Coer Group 962903_The Coer Group 962903.txt","10","","PARKER","K00D118085 GEOiRAPHIC ID:

 16536.000.001.00",""
"The Jumba LLC Recorded.txt","","","","",""
